test,statistic,p_value,ci_lower,ci_upper,interpretation
McNemar,6.2439024390243905,0.012462158294540338,,,Significant difference in errors (p < 0.05).
Bootstrap ΔAUC,0.16421228118921927,0.508,0.07553815004262585,0.25375664229077827,ΔAUC = 0.1642 (95% CI: 0.0755–0.2538)
