seed,accuracy,macro_f1
0,0.6173448734506621,0.2572530002075086
1,0.6176147425641421,0.257271539662244
2,0.6176340189293906,0.2584232808983957
3,0.6187327717485591,0.25662872784088203
4,0.6172870443549164,0.256865727823807
5,0.6176532952946392,0.25787527035021524
6,0.6168822406846965,0.2547182261364416
7,0.6174798080074021,0.25598117538383447
8,0.6185014553655762,0.25773031887259634
9,0.6180773753301078,0.25547060730829346
